Number of blanks,Name,Platform,Console,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Wii Sports,Wii,Wii,2006,Sports,Nintendo,76,51,8.0,322,Nintendo,E
0,Super Mario Bros.,NES,NES,1985,Platform,Nintendo,,,,,,
0,Mario Kart Wii,Wii,Wii,2008,Racing,Nintendo,82,73,8.3,709,Nintendo,E
0,Wii Sports Resort,Wii,Wii,2009,Sports,Nintendo,80,73,8.0,192,Nintendo,E
0,Pokemon Red/Pokemon Blue,GB,GB,1996,Role-Playing,Nintendo,,,,,,
0,Tetris,GB,GB,1989,Puzzle,Nintendo,,,,,,
0,New Super Mario Bros.,DS,DS,2006,Platform,Nintendo,89,65,8.5,431,Nintendo,E
0,Wii Play,Wii,Wii,2006,Misc,Nintendo,58,41,6.6,129,Nintendo,E
0,New Super Mario Bros. Wii,Wii,Wii,2009,Platform,Nintendo,87,80,8.4,594,Nintendo,E
0,Duck Hunt,NES,NES,1984,Shooter,Nintendo,,,,,,
0,Nintendogs,DS,DS,2005,Simulation,Nintendo,,,,,,
0,Mario Kart DS,DS,DS,2005,Racing,Nintendo,91,64,8.6,464,Nintendo,E
0,Pokemon Gold/Pokemon Silver,GB,GB,1999,Role-Playing,Nintendo,,,,,,
0,Wii Fit,Wii,Wii,2007,Sports,Nintendo,80,63,7.7,146,Nintendo,E
0,Kinect Adventures!,X360,X360,2010,Misc,Microsoft Game Studios,61,45,6.3,106,Good Science Studio,E
0,Wii Fit Plus,Wii,Wii,2009,Sports,Nintendo,80,33,7.4,52,Nintendo,E
0,Grand Theft Auto V,PS3,PS3,2013,Action,Take-Two Interactive,97,50,8.2,3994,Rockstar North,M
0,Grand Theft Auto: San Andreas,PS2,PS2,2004,Action,Take-Two Interactive,95,80,9.0,1588,Rockstar North,M
0,Super Mario World,SNES,SNES,1990,Platform,Nintendo,,,,,,
0,Brain Age: Train Your Brain in Minutes a Day,DS,DS,2005,Misc,Nintendo,77,58,7.9,50,Nintendo,E
0,Pokemon Diamond/Pokemon Pearl,DS,DS,2006,Role-Playing,Nintendo,,,,,,
0,Super Mario Land,GB,GB,1989,Platform,Nintendo,,,,,,
0,Super Mario Bros. 3,NES,NES,1988,Platform,Nintendo,,,,,,
0,Grand Theft Auto V,X360,X360,2013,Action,Take-Two Interactive,97,58,8.1,3711,Rockstar North,M
0,Grand Theft Auto: Vice City,PS2,PS2,2002,Action,Take-Two Interactive,95,62,8.7,730,Rockstar North,M
0,Pokemon Ruby/Pokemon Sapphire,GBA,GBA,2002,Role-Playing,Nintendo,,,,,,
0,Brain Age 2: More Training in Minutes a Day,DS,DS,2005,Puzzle,Nintendo,77,37,7.1,19,Nintendo,E
0,Pokemon Black/Pokemon White,DS,DS,2010,Role-Playing,Nintendo,,,,,,
0,Gran Turismo 3: A-Spec,PS2,PS2,2001,Racing,Sony Computer Entertainment,95,54,8.4,314,Polyphony Digital,E
0,Call of Duty: Modern Warfare 3,X360,X360,2011,Shooter,Activision,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M
0,Pokémon Yellow: Special Pikachu Edition,GB,GB,1998,Role-Playing,Nintendo,,,,,,
0,Call of Duty: Black Ops 3,PS4,PS4,2015,Shooter,Activision,,,,,,
0,Call of Duty: Black Ops,X360,X360,2010,Shooter,Activision,87,89,6.3,1454,Treyarch,M
0,Pokemon X/Pokemon Y,3DS,3DS,2013,Role-Playing,Nintendo,,,,,,
0,Call of Duty: Black Ops II,PS3,PS3,2012,Shooter,Activision,83,21,5.3,922,Treyarch,M
0,Call of Duty: Black Ops II,X360,X360,2012,Shooter,Activision,83,73,4.8,2256,Treyarch,M
0,Call of Duty: Modern Warfare 2,X360,X360,2009,Shooter,Activision,94,100,6.3,2698,Infinity Ward,M
0,Call of Duty: Modern Warfare 3,PS3,PS3,2011,Shooter,Activision,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M
0,Grand Theft Auto III,PS2,PS2,2001,Action,Take-Two Interactive,97,56,8.5,664,DMA Design,M
0,Super Smash Bros. Brawl,Wii,Wii,2008,Fighting,Nintendo,93,81,8.9,1662,Game Arts,T
0,Mario Kart 7,3DS,3DS,2011,Racing,Nintendo,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
0,Call of Duty: Black Ops,PS3,PS3,2010,Shooter,Activision,88,58,6.4,1094,Treyarch,M
0,Grand Theft Auto V,PS4,PS4,2014,Action,Take-Two Interactive,97,66,8.3,2899,Rockstar North,M
0,Animal Crossing: Wild World,DS,DS,2005,Simulation,Nintendo,86,57,8.7,242,Nintendo,E
0,Halo 3,X360,X360,2007,Shooter,Microsoft Game Studios,94,86,7.8,4100,"Bungie Software, Bungie",M
0,Super Mario 64,N64,N64,1996,Platform,Nintendo,,,,,,
0,Pokemon HeartGold/Pokemon SoulSilver,DS,DS,2009,Action,Nintendo,,,,,,
0,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,3DS,2014,Role-Playing,Nintendo,,,,,,
0,Gran Turismo 4,PS2,PS2,2004,Racing,Sony Computer Entertainment,89,74,8.5,272,Polyphony Digital,E
0,Super Mario Galaxy,Wii,Wii,2007,Platform,Nintendo,97,73,8.9,2147,Nintendo,E
0,Super Mario Land 2: 6 Golden Coins,GB,GB,1992,Adventure,Nintendo,,,,,,
0,Grand Theft Auto IV,X360,X360,2008,Action,Take-Two Interactive,98,86,7.9,2951,Rockstar North,M
0,Gran Turismo,PS,PS,1997,Racing,Sony Computer Entertainment,96,16,8.7,138,Polyphony Digital,E
0,Super Mario 3D Land,3DS,3DS,2011,Platform,Nintendo,90,82,8.4,921,Nintendo,E
0,Gran Turismo 5,PS3,PS3,2010,Racing,Sony Computer Entertainment,84,82,7.5,1112,Polyphony Digital,E
0,Call of Duty: Modern Warfare 2,PS3,PS3,2009,Shooter,Activision,94,67,6.3,2073,Infinity Ward,M
0,Super Mario All-Stars,SNES,SNES,1993,Platform,Nintendo,,,,,,
0,Grand Theft Auto IV,PS3,PS3,2008,Action,Take-Two Interactive,98,64,7.5,2833,Rockstar North,M
0,Pokemon FireRed/Pokemon LeafGreen,GBA,GBA,2004,Role-Playing,Nintendo,,,,,,
0,Super Mario 64,DS,DS,2004,Platform,Nintendo,,,,,,
0,Call of Duty: Ghosts,X360,X360,2013,Shooter,Activision,73,29,2.6,2117,Infinity Ward,M
0,Just Dance 3,Wii,Wii,2011,Misc,Ubisoft,74,15,7.8,16,Ubisoft,E10+
0,New Super Mario Bros. 2,3DS,3DS,2012,Platform,Nintendo,78,70,7.2,424,Nintendo,E
0,Mario Kart 64,N64,N64,1996,Racing,Nintendo,,,,,,
0,Halo: Reach,X360,X360,2010,Shooter,Microsoft Game Studios,91,99,7.9,2045,Bungie,M
0,Final Fantasy VII,PS,PS,1997,Role-Playing,Sony Computer Entertainment,92,20,9.2,1282,SquareSoft,T
0,Halo 4,X360,X360,2012,Shooter,Microsoft Game Studios,87,87,7.0,3260,343 Industries,M
0,Gran Turismo 2,PS,PS,1999,Racing,Sony Computer Entertainment,93,23,9.0,135,Polyphony Digital,T
0,Just Dance 2,Wii,Wii,2010,Misc,Ubisoft,74,24,7.3,24,Ubisoft,E10+
