index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
1,Wii Sports,Wii,Wii,2006,E,Sports,Nintendo,Nintendo,41.49,29.02,3.77,8.46,82.74,76,51,8,322
2,Super Mario Bros.,NES,NES,1985,,Platform,Nintendo,,29.08,3.58,6.81,0.77,40.24,\N,\N,\N,\N
2,Super Mario Bros.,NES,NES,1985,,Platform,Nintendo,,29.08,3.58,6.81,0.77,40.24,\N,\N,\N,\N
3,Mario Kart Wii,Wii,Wii,2008,E,Racing,Nintendo,Nintendo,15.85,12.88,3.79,3.31,35.82,82,73,8.3,709
4,Wii Sports Resort,Wii,Wii,2009,E,Sports,Nintendo,Nintendo,15.75,11.01,3.28,2.96,33,80,73,8,192
5,Pokemon Red/Pokemon Blue,GB,GB,1996,,Role-Playing,Nintendo,,11.27,8.89,10.22,1,31.37,\N,\N,\N,\N
6,Tetris,GB,GB,1989,,Puzzle,Nintendo,,23.2,2.26,4.22,0.58,30.26,\N,\N,\N,\N
6,Tetris,GB,GB,1989,,Puzzle,Nintendo,,23.2,2.26,4.22,0.58,30.26,\N,\N,\N,\N
7,New Super Mario Bros.,DS,DS,2006,E,Platform,Nintendo,Nintendo,11.38,9.23,6.5,2.9,30.01,89,65,8.5,431
8,Wii Play,Wii,Wii,2006,E,Misc,Nintendo,Nintendo,14.03,9.2,2.93,2.85,29.02,58,41,6.6,129
9,New Super Mario Bros. Wii,Wii,Wii,2009,E,Platform,Nintendo,Nintendo,14.59,7.06,4.7,2.26,28.62,87,80,8.4,594
10,Duck Hunt,NES,NES,1984,,Shooter,Nintendo,,26.93,0.63,0.28,0.47,28.31,\N,\N,\N,\N
11,Nintendogs,DS,DS,2005,,Simulation,Nintendo,,9.07,11,1.93,2.75,24.76,\N,\N,\N,\N
12,Mario Kart DS,DS,DS,2005,E,Racing,Nintendo,Nintendo,9.81,7.57,4.13,1.92,23.42,91,64,8.6,464
13,Pokemon Gold/Pokemon Silver,GB,GB,1999,,Role-Playing,Nintendo,,9,6.18,7.2,0.71,23.1,\N,\N,\N,\N
14,Wii Fit,Wii,Wii,2007,E,Sports,Nintendo,Nintendo,8.94,8.03,3.6,2.15,22.72,80,63,7.7,146
15,Wii Fit Plus,Wii,Wii,2009,E,Sports,Nintendo,Nintendo,9.09,8.59,2.53,1.79,22,80,33,7.4,52
16,Kinect Adventures!,X360,X360,2010,E,Misc,Microsoft Game Studios,Good Science Studio,14.97,4.94,0.24,1.67,21.82,61,45,6.3,106
17,Grand Theft Auto V,PS3,PS3,2013,M,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,96,57,7.9,3756
17,Grand Theft Auto V,PS3,PS3,2013,M,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,97,14,7.9,764
17,Grand Theft Auto V,PS3,PS3,2013,M,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,97,66,8.3,2899
17,Grand Theft Auto V,PS3,PS3,2013,M,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,97,58,8.1,3711
17,Grand Theft Auto V,PS3,PS3,2013,M,Action,Take-Two Interactive,Rockstar North,7.01,9.27,0.97,4.14,21.4,97,50,8.2,3994
18,Grand Theft Auto: San Andreas,PS2,PS2,2004,M,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,10.57,20.81,93,47,8.9,1841
18,Grand Theft Auto: San Andreas,PS2,PS2,2004,AO,Action,Take-Two Interactive,Rockstar North,9.43,0.4,0.41,10.57,20.81,93,58,8.6,118
